question_id,question,model_name,correct_answer,model_answer,judge_result,level
LCB_0001,"Ideal Sheet Takahashi has two sheets A and B, each composed of black squares and transparent squares, and an infinitely large sheet C composed of transparent squares. There is also an ideal sheet X for Takahashi compo...",claude-haiku-4-5-20251001,,,0,medium
LCB_0001,"Ideal Sheet Takahashi has two sheets A and B, each composed of black squares and transparent squares, and an infinitely large sheet C composed of transparent squares. There is also an ideal sheet X for Takahashi compo...",claude-sonnet-4-20250514,,"def solve(): # Read input H_A, W_A = map(int, input().split()) A = [input().strip() for _ in range(H_A)] H_B, W_B = map(int, input().split()) B = [input().strip() for _ in range(H_B)] H_X, W_X = map(int, input().split()) X = [input().strip() for _ in range(H_X)] # Try all possible placements MAX_OFFSET = 30 # Should be enough given constraints for r_A in range(-MAX_OFFSET, MAX_OFFSET + 1): for c_A in range(-MAX_OFFSET, MAX_OFFSET + 1): for r_B in range(-MAX_OFFSET, MAX_OFFSET + 1): for c_B in...",0,medium
LCB_0001,"Ideal Sheet Takahashi has two sheets A and B, each composed of black squares and transparent squares, and an infinitely large sheet C composed of transparent squares. There is also an ideal sheet X for Takahashi compo...",claude-sonnet-4-6,,"def solve(): HA, WA = map(int, input().split()) A = [input() for _ in range(HA)] HB, WB = map(int, input().split()) B = [input() for _ in range(HB)] HX, WX = map(int, input().split()) X = [input() for _ in range(HX)] A_blacks = [(i, j) for i in range(HA) for j in range(WA) if A[i][j] == '#'] B_blacks = [(i, j) for i in range(HB) for j in range(WB) if B[i][j] == '#'] da_min = max(-i for i, j in A_blacks) da_max = min(HX-1-i for i, j in A_blacks) db_min = max(-j for i, j in A_blacks) db_max = m...",1,medium
LCB_0001,"Ideal Sheet Takahashi has two sheets A and B, each composed of black squares and transparent squares, and an infinitely large sheet C composed of transparent squares. There is also an ideal sheet X for Takahashi compo...",gemini-2.5-flash,,"import sys def solve(): # Read dimensions and sheet A H_A, W_A = map(int, sys.stdin.readline().split()) A = [sys.stdin.readline().strip() for _ in range(H_A)] # Read dimensions and sheet B H_B, W_B = map(int, sys.stdin.readline().split()) B = [sys.stdin.readline().strip() for _ in range(H_B)] # Read dimensions and target sheet X H_X, W_X = map(int, sys.stdin.readline().split()) X_target = [sys.stdin.readline().strip() for _ in range(H_X)] # Extract coordinates of black squares from A black_A...",1,medium
LCB_0001,"Ideal Sheet Takahashi has two sheets A and B, each composed of black squares and transparent squares, and an infinitely large sheet C composed of transparent squares. There is also an ideal sheet X for Takahashi compo...",gemini-2.5-pro,,"# YOUR CODE HERE import sys def solve(): """""" This function reads the input, solves the problem, and prints the output. """""" def read_sheet(): """"""Helper function to read one sheet's data and return its black square coordinates."""""" try: line = sys.stdin.readline() if not line: return None H, W = map(int, line.split()) grid = [sys.stdin.readline().strip() for _ in range(H)] coords = set() for r in range(H): for c in range(W): if grid[r][c] == '#': coords.add((r, c)) return coords except (IOError,...",1,medium
LCB_0001,"Ideal Sheet Takahashi has two sheets A and B, each composed of black squares and transparent squares, and an infinitely large sheet C composed of transparent squares. There is also an ideal sheet X for Takahashi compo...",gemini-3-flash-preview,,"import sys # The goal is to determine if Takahashi can create sheet X using all black squares in sheets A and B. # Two main conditions must be satisfied: # 1. The cut-out area (HX x WX) must include all black squares of sheets A and B. # 2. The black squares within the cut-out area must match the black squares of sheet X exactly. def solve(): # Read sheet A dimensions and grid data line_a = sys.stdin.readline().split() if not line_a: return ha, wa = map(int, line_a) a_grid = [sys.stdin.readli...",1,medium
LCB_0001,"Ideal Sheet Takahashi has two sheets A and B, each composed of black squares and transparent squares, and an infinitely large sheet C composed of transparent squares. There is also an ideal sheet X for Takahashi compo...",gpt-4.1-2025-04-14,,"# Read input def read_sheet(h): return [input().strip() for _ in range(h)] def get_black_positions(sheet): pos = [] for i, row in enumerate(sheet): for j, c in enumerate(row): if c == '#': pos.append((i, j)) return pos def main(): H_A, W_A = map(int, input().split()) A = read_sheet(H_A) H_B, W_B = map(int, input().split()) B = read_sheet(H_B) H_X, W_X = map(int, input().split()) X = read_sheet(H_X) # Get black positions in A, B, X A_blacks = get_black_positions(A) B_blacks = get_black_positio...",1,medium
LCB_0001,"Ideal Sheet Takahashi has two sheets A and B, each composed of black squares and transparent squares, and an infinitely large sheet C composed of transparent squares. There is also an ideal sheet X for Takahashi compo...",gpt-5,,,0,medium
LCB_0001,"Ideal Sheet Takahashi has two sheets A and B, each composed of black squares and transparent squares, and an infinitely large sheet C composed of transparent squares. There is also an ideal sheet X for Takahashi compo...",gpt-5-mini,,,0,medium
LCB_0001,"Ideal Sheet Takahashi has two sheets A and B, each composed of black squares and transparent squares, and an infinitely large sheet C composed of transparent squares. There is also an ideal sheet X for Takahashi compo...",gpt-5.1,,"# YOUR CODE HERE import sys def main(): input = sys.stdin.readline # Read A H_A, W_A = map(int, input().split()) A = [input().strip() for _ in range(H_A)] # Read B H_B, W_B = map(int, input().split()) B = [input().strip() for _ in range(H_B)] # Read X H_X, W_X = map(int, input().split()) X = [input().strip() for _ in range(H_X)] # Collect black cell coordinates for A, B, X blacks_A = [(i, j) for i in range(H_A) for j in range(W_A) if A[i][j] == '#'] blacks_B = [(i, j) for i in range(H_B) for...",1,medium
